GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth,pe.com.farmaciadey.auth,ServletInitializer,0,12,0,0,0,2,0,2,0,2
auth,pe.com.farmaciadey.auth,AuthApplication,0,8,0,0,0,3,0,2,0,2
auth,pe.com.farmaciadey.auth.models,CustomUserDetails,0,35,0,0,0,13,0,8,0,8
auth,pe.com.farmaciadey.auth.configurations,SecurityConfig,0,159,0,0,0,29,0,9,0,9
auth,pe.com.farmaciadey.auth.configurations,JwtAuthFilter,12,168,5,17,4,50,5,9,0,3
auth,pe.com.farmaciadey.auth.configurations,JwtAuthenticationEntryPoint,0,26,0,2,0,8,0,3,0,2
auth,pe.com.farmaciadey.auth.services,CustomUserDetailsService,0,41,0,2,0,9,0,5,0,4
auth,pe.com.farmaciadey.auth.services,JwtService,0,118,1,7,0,29,1,13,0,10
auth,pe.com.farmaciadey.auth.models.responses,DataResponse,0,45,0,0,0,21,0,6,0,6
auth,pe.com.farmaciadey.auth.constants,Utils,0,10,0,0,0,3,0,1,0,1
auth,pe.com.farmaciadey.auth.controllers,AuthController,1,128,0,8,1,23,1,7,1,3
